# ----------------------------------------
# Páginas y pantallas: Ruta de página y clase de pantalla
# Cuenta: Vulcano S.A.
# Propiedad: B2C ARG
# ----------------------------------------
# 
# Todos los usuarios
# Fecha de inicio: 20250401
# Fecha de finalización: 20250430
Título de página y clase de pantalla,Porcentaje de rebote,Vistas,Eventos clave,Total de usuarios,Usuarios recurrentes,Usuarios nuevos,Usuarios activos,Vistas por usuario activo,Tiempo de interacción medio por usuario activo,Número de eventos
Fuente Switching 3.2A (40W) - Vulcano SA,0,4,1,4,2,0,4,1,22.75,12
Fuente Switching 5A (60W) - Vulcano SA,0,3,1,1,1,0,1,3,92,7
"Fuente Switching 8,3A (100W) - Vulcano SA",0,3,1,3,0,2,3,1,10.666666666666666,12
Fuente de alimentación sellada 200W - Vulcano SA,0,4,1,4,0,3,4,1,14.25,13
Fuente de alimentación sellada 40W - Vulcano SA,0,6,1,6,3,0,6,1,155.66666666666666,17
Luminaria para embutir BiPin 100W (LR) - Vulcano SA,0,3,1,3,2,0,3,1,11.666666666666666,8
Luminaria spot blanco Dicroica 50W Hormigón - Vulcano SA,0,6,1,5,4,0,4,1.5,28.25,18
Luz cascada RGB 40 cm / 4W - Vulcano SA,0,6,1,5,1,0,5,1.2,42.8,13
Luz cascada RGB 50 cm / 5W - Vulcano SA,0,7,1,5,1,1,5,1.4,26.6,15
"Manguito PN16 ø40 mm - RM 1 1/4"" (para pegar y roscar) - Vulcano SA",0,5,1,3,2,1,3,1.6666666666666667,30,14
Mi ZUIPY - Vulcano SA,0.02702702702702703,230,1,8,6,2,8,28.75,558.625,644
Pool-Inverter 110 热泵 - Vulcano SA,0,1,1,2,0,0,2,0.5,74,6
PowerLED 18W RGB 10 m - Vulcano SA,0,7,1,5,3,0,5,1.4,24.4,12
"PowerLED 18W RGB 2,6 m - Vulcano SA",0,6,1,5,1,1,4,1.5,468.5,15
"PowerLED 4,5W luz blanca 2,6 m - Vulcano SA",0,7,1,7,2,1,7,1,26.142857142857142,23
